,text,label,readability,ARI
8005,Next on the to do list find a bf,1,113.1,-4.5
8006,The east India company in uk was a very powerful in slave trade for years,1,90.09,4.6
8007,What matter? Every lives is matter,0,90.77,4.3
8008,am not finding it offences because I think all lives matter every life matters and am only 16 and not getting told to say this but just black lives matter just them I would like to see everything go in flames alot of black on black crime then cops killing blacks I think it's really retarded that this is the world now first everybody is crying that Trump won now this it's really dumb when I was little I thought everything was going to be sunshine and rainbow and everybody getting along but no its the stupid shit and am mexican what about Mexicans do our lives matter or Chinese lives matter or is it just black people just having a hard time because I been to Mexico and it's bad it smells like the sewer the houses have no ac they look brokered down I saw someone get shot over there hahaha all u say is that black people had it the worst am done again this is retarded,1,-67.24,83.1
8009,@Don Pilkington or because I'm white they want me to feel guilty for something I had no control over.n Not happening.,1,86.2,5.6
8010,BP Gaming excluding every race that has been kilt by police and only thinking of your race. Is racist. But all lives matter could’ve been a United push against the so called “police brutality” but no. I can’t say my life matters bc I’d be racist 🤷‍,1,81.33,6.9
8011,because that wasn't what defined him. There is no statue of anyone,1,90.77,3.1
8012,I have to be completely real about this. I am totally blown away by how amazing she looks. The only thing Botox does is make lines look less visible. It doesn't change anything else beyond that.,1,96.18,3.9
8013,The intention of Auschwitz is a museum to remember the terrible acts committed within it. The statue was a celebration and glorification of Colston. The statue should have been moved to a museum and both his philanthropy and slave trading mentioned alongside it.,1,56.96,9.9
8014,I’ll be honest i live in Scotland so I believe the racism is not noticed as much here as everywhere else around the world. I give a lot off respect on the massive community coming togather for protests but this is creating a massive divide. And the vandalism needs to stop on the history off the country as it will be never ending.,1,75.54,9.2
8015,@Voice of TRUTH! we are in 2020 not 1800 or whatever. History is history. It's not happening right now,1,100.44,1.8
8016,The girl saying she doesn’t agree with homosexuality... she was taught that way of thinking I don’t believe she really feels that way it’s just what she was taught to say and think. She was very kind and respectful I know she’ll change her mind on homosexuality when/if she ever feels comfortable enough with herself. Good luck to her and the guy telling his story in the video (sorry I don’t remember his name atm) edit,0,77.57,9.5
8017,I hope she’s not going down the route of the over embellished Michael Jackson looking clothes,1,72.16,9.6
8018,Hudson Birt it’s not,1,92.8,0.6
8019,@Savy the Niller Waffer What did i do?,1,105.66,0.8
8020,The Queen of Pop. She has something to say.,1,109.21,-1.0
8021,Come on Juan your totally brainwashed. How about equal rights for everyone.,1,99.23,6.7
8022,She is so out of touch. All the money and fame have ruined her.,1,115.13,-1.2
8023,Man the people who disliked this video are messed up or just straight up racist,1,98.55,6.5
8024,protesting BLM isn't racist 🤣,1,50.5,10.0
8025,If you read John 3,1,117.16,-5.8
8026,Great thing for them taking down the slave trader statue,1,103.63,5.7
8027,Go to Africa and protest the slave traders who sold their people into slavery. Idiots.,1,98.55,8.7
8028,She saved and changed my life. Love u my Queen.,0,117.16,-1.1
8029,I’m currently studying engineering right now and this honestly gave me the motivation to finish the rest of the semester. It’s so incredibly easy to feel defeated in this field,0,73.17,9.1
8030,@Michael K. Jensen​ men don't talk about the issues?  Where did you just pluck that from..,1,105.66,4.4
8031,It is a Transgender,1,92.8,-0.7
8032,@Crabman Coconut and BLM is acting CONTRARY to what MLK taught.nIt's an evil political movement that Hurts the black community and everyone else.,1,76.72,9.5
8033,She was clearly crying before this interview and holding back tears throughout.  If you haven't heard her speech that was just before this interview,1,76.22,8.9
8034,Love her! She looks 30!,1,117.16,-1.1
8035,I love Madonna she’s a trailblazer and trendsetter thx Madonna for being unapologetically yourself and spreading love and empowering messages your so inspirational love my beautiful queen  Madonna,0,34.6,20.8
8036,Black lives matter bc all lives matter . Until black lives matter as much as others all lives don’t matter.,1,87.21,5.1
8037,You can't post  w h i t e - lives matter nYouTube deletes your comment. But won't delete the comment Black lives matternnIf being white is wrong. I don't want to be right.,1,85.99,4.2
8038,@George-Razvan Lupu he isnt a saint,1,90.77,5.1
8039,Probably the most vulnerable I've ever seen madonna.  A real champ.,1,91.27,5.3
8040,They chanted the same thing at London police,1,88.74,4.4
8041,@Jatma O The burden of proof has never been satisfied. Your whole argument is nothing more than an appeal to ignorance - I don't know therefore god - here's a better idea how about a simple I don't know,1,78.08,8.7
8042,@thundernegro And likewise you do the same.,1,89.75,7.0
8043,I can definitely relate to the interest in legos,1,53.88,4.0
8044,I thought so too!!!,1,118.18,-0.7
8045,this is 8chan pol,1,118.18,-3.0
8046,Funny how the CLEARLY-lesbian girl is the most close-minded of them all... Again,1,92.12,9.7
8047,@Elv3a That´s the worst part,1,117.16,3.7
8048,@Get Away  He is real. He really is.,1,118.18,-3.0
8049,How do you heal from this?,1,116.15,-2.0
8050,@Po Po but you are.!!!!!,1,117.16,-0.2
8051,I think what they really try to say is ONLY black lives matter.,1,100.58,3.5
8052,Why the hell are people getting mad when someone says all lives matter?nnWhy does only black lives matter,1,87.72,6.1
8053,One death that caused stores and business to be looted and burned down nsmh black ppl 🤦‍🤦‍,1,97.54,8.4
8054,+Smerg theDargon whoops sorry you'll be left behind within the next century,1,84.68,9.7
8055,@DoubleIrish DutchSandwich congratulations,1,-75.4,42.9
8056,All lives DO matter. No one is better than the other. Sanders is a fraud. He got arrested in 1964 for throwing eggs at black protesters.,0,90.26,1.9
8057,Yes. I'm sure this poor girl won't forget how  nshe was treated by these human waste in 2020. Disgustingn,1,86.03,9.4
8058,“My choice is to love”nThis boi.nI will protecc this boi.,1,108.7,3.7
8059,@paul molyneux everybody knows that all lives matter,1,80.28,9.1
8060,think about your projects ladies,1,100.24,7.4
8061,Thousands of people.. gather for 1.. that is very serious this needs to stop.,1,92.08,2.4
8062,I think its OK to disagree with being LGBT,1,96.18,0.9
8063,society says don't assume but they assume to anyways,1,62.34,6.1
8064,@ur mom is a cat more self victimization lmfao,1,79.26,2.9
8065,northwestjuggernaut no he's not. You must not know a great man when you see one.,1,89.24,3.0
8066,That would just be uhh.. pure mean,1,115.13,0.9
8067,This is all about election time and there goes the Democrats using people of color to get votes.  Just keeps repeating itself,1,85.69,6.1
8068,My god this comment chain is gold,1,106.67,0.3
8069,Priti Patel sounds like a stuck up caste system racist #$%^,1,86.71,6.6
8070,It isn’t controversial it’s just black people who believe in this new movement are run by hate. Maybe in the beginning it was ok but now it’s fueled by hate. Look out America this is the beginning of the end!,1,83.36,5.1
8071,@ J.C.  Larry Elder was spot on what he said about Obama and the black economy.,1,98.55,5.9
8072,What’s wrong with “ALL LIVES MATTER”? Well,1,106.67,6.3
8073,@LG yes. She is a broken-winged bird,1,106.67,2.3
8074,But you gotta wait until he's off duty before he can accept the offer. --[CLINK]--,1,81.63,7.4
8075,why is black on black crime so high and why is it that this is not discussed on MSM? It just seems odd to have a statement like BLM and yet to not care about the statistics at all.,1,93.98,5.5
8076,@Olivia Wann right same 🤣,1,118.18,5.3
8077,America is not a Patriarchy,0,66.4,2.7
8078,@Rupco EU In the context of this video,1,105.66,0.8
8079,Even in their mythological pictorials,1,32.56,12.2
8080,I love that sheriff. He and Clint Eastwood should make a film together,1,90.26,2.8
8081,I actually like Annie more after learning that she doesnt support homosexuality because shes being open-minded and saying that its the person's choice,1,39.67,16.3
8082,@victor maphosa We would gladly trade any of the Black Lives Matters members white or black for you to come here.,1,84.0,9.9
8083,@Ashley Laurencya I am sorry but these tortures doesn't work for anyone,0,84.68,8.1
8084,@Jack Parsons Was looking for something specific and stumbled on your stupidity and thought I'd let you know how fucken stupid and ignorant you are. Get well soon. Bless your heart 🤦‍,1,77.94,6.8
8085,OH a ballsy move. An oppressed group fighting an oppressed group. Blacks or Gays,1,100.54,3.5
8086,You’re on 3$ that she is bisexual,1,89.75,0.3
8087,@VOKZEL Tamir Rice and Michael Brown in 2014,1,105.66,4.4
8088,So she's talking about loss,1,100.24,2.7
8089,Boet T GG no the point was I didn’t say ONLY black lives matter. I just said black lives matter. Which does not put any other race below black lives it just says they matter. Also I said nothing to Lorenna they just got confused. And again I am both black and white I am mixed. Half of my family is black half of my family is white. And how am I ignorant and racist when you keep calling me that and giving me no reasoning other than your last reply which is invalid because it was a misunderstanding.,1,82.54,4.8
8090,God is not partial all lives matter even those that don't know Him.,1,92.12,5.0
8091,EVITA 01 Both.,1,119.19,-1.2
8092,@milens People like me? I haven't sent anyone to therapy for anything. So please don't include me into something I haven't done.,1,89.45,5.1
8093,Antarctica isn't a country,1,33.58,7.7
8094,Fuckin joke.. We been goin t work risking our lives for this.. Get em all back t work.. Fuckin piss takers...we should all go on strike as well.. Then they ll have a problem and it won't be a bit of public disorder it'll be the end of it all.. After all we ain't getting looked after by no one..,1,103.63,2.1
8095,This sheriff's right then even more right now,1,105.66,4.9
8096,All birds lives matter. That's a fact. But out of all birds,1,109.72,-0.7
8097,God loves us all let’s move on and FIX the cities!nTroops home $$$ spent on all communities!!!nGood luck from Australia!,1,82.0,6.8
8098,The lgbtq helped launched Madonna and the fact she basically knowdlgeses it every time in her song and in her daily life is iconic,0,80.96,11.6
8099,@I live in my mom's basement maybe. I was over generalizing,1,74.35,2.3
8100,@FAZE ARNOLD Not really. How does all lives matter change the subject? It is just a better slogan. It addresses everyone's needs rather than to divide humanity into every possible group you can find. This kind of view has completely backfired in the past and by the looks of it,1,86.71,5.0
8101,@Hai Huynh yep right I saw the video. But I saw the part of the video that the media chose to serve us. Which is not the whole story where you aware that George Floyd had pulled a gun on a pregnant woman,1,99.26,3.4
8102,Though my love affair with Madonnas music has been up and down,1,84.68,4.6
8103,This is all about ushering in the New World Order. Rendering the police obsolete all over the world - making all people powerless subjects.,1,68.26,8.1
8104,CCP  Communists   Everywhere  is a threat to human life  anywhere...,1,69.79,9.0
8105,She sure stepped on a lot of people on the way up. Does the end justify the means?,1,104.64,0.1
8106,Playing hide and go seek from my sexuality ‍,1,80.28,3.8
8107,Is one race better than the other? I thought that’s called racism...”black lives matter”........hmmmmm. If racism is “allowed” to die,1,83.32,7.9
8108,Calm the caps bud,1,118.18,-3.0
8109,They probably need to change the logo to nBLACK LIVES MATTER TOO... We are not stupid of course all lives matter it's just that a lot of ppl think that we (b/ppl) dont matter because of how we have been treated fact... nNow thay are trying to make it look like we are racist....🤦‍,1,87.05,7.4
8110,WHITE PEOPLES LOGIC!! SKIN YOUR SELF HELLENISTIC HEATHEN TALK!!,1,66.91,9.6
8111,All the protestors are white.. am i missing something?,1,92.29,4.9
8112,It’s not the Democrats ...,1,92.8,6.5
8113,Everyone need to think like there’s another human race that are gonna visit and ask us. What were you thinking?,1,86.71,5.2
8114,How was I subbed to this feminist bullshit channel?!?!? I usually have a nose for this kind of shit.,1,87.21,3.7
8115,my queen looks tired <3,1,117.16,-1.1
8116,sorry RIVER not everybody has to agree with everything right? If some people don't like you for what you are and that bothers you then what you are must bother you as well?,1,97.03,6.8
8117,Me too bro,1,119.19,-7.5
8118,Well in my opinion some lives don't matter,1,88.74,3.2
8119,@Nibzu of Nibiru Any time these cretins open their mouths they are spreading racism as they are full of hatred like the racists that they are. nnI don't remember hearing them say anything about the actual racism their own kind in South Africa is committing on a daily basis. Proof that they are not against racism but in fact racist themselves against white people.,1,75.24,11.5
8120,also the way he said sure... after that lil queer kid said they didn't agree. THE SHADE OF IT ALL HENNY,1,115.13,0.7
8121,I came out as a furry!,1,116.15,-5.2
8122,@RA RL just saying coming from a white dude sounds racist,1,85.69,4.2
8123,Yes and 12 black armed police should guard it.,1,104.64,2.9
8124,Deleting important comments is Great Big Stories favorite pastime.,1,28.5,13.4
8125,@ so go back to China you comisate,1,106.67,0.3
8126,This is why I don't like people.,1,115.13,-0.6
8127,has long has you keep saying BLM over all lives matter,1,94.15,2.9
8128,@Kamron Moore some people are in denial,1,89.75,4.3
8129,The greatest mathematician of our time!,1,90.77,8.3
8130,ALL LIVES MATTER!!! To say otherwise is just racist,0,83.83,3.3
8131,Lately our lives haven't carried the same weight and DIFFERENCES with how the police treat US..not y'all..nHence Black Lives Matter..nSimple..not complex..,1,77.74,14.1
8132,@Neil Benjamin who could have believed in our time there would be so many arseholes running about.,1,88.06,9.8
8133,@jack gaming but history is the problem. Perhaps if everyone could let go of the past rather than obsess over past glory and mistakes that caused trauma or create separation perhaps humans could start to move forward as a species.,1,68.1,11.1
8134,Actually I think with her platform she could do more for LGBTQ’s ..,1,84.68,6.1
8135,And i am glad they care now. Good riddance.,1,104.64,1.4
8136,@The IRA So that black life didn't matter?,1,88.74,3.2
8137,I'm not a homophobic person. If I were would I have said that I would be friends with him? A homophobia wouldn't say that.,1,88.74,2.0
8138,Glad the blm is fast fading out of national news. Time to go to work,1,97.7,-0.8
8139,Take your time. You'll be able to do that and be yourself.. You can do it.,0,108.4,-1.5
8140,If all lives matter is considered racist we just hit the reset button on the real problem and are repeating everything we did before to fix it. When will we learn our lesson?,1,80.11,7.1
8141,who are these people?,1,118.18,1.8
8142,@you are totally right,1,118.18,2.9
8143,@Jessica Walker not if their religion doesnt respect LGBTQ people,1,52.87,9.9
8144,@alva s. v - and why can't you,1,115.13,-2.5
8145,It is a stupid question,1,83.32,-1.1
8146,thomakaah he’s cute too.,1,92.8,5.3
8147,@andantina lol. Trying to fight off the trauma,0,88.74,5.6
8148,Starting my own movement which I called black behavior matters basically what we are trying to implement is the improvement of black people globally. It's a huge task but we are keeping an open mind.,1,70.63,9.5
8149,Even juan says all lives matter???   Now that is something.  At least theres that.  I agree with larry and duncan.,1,108.7,2.5
8150,So you're good with homosexuality,0,49.48,8.4
8151,@Cabin Dweller No one is even alive from the slavery times. People already died to make everyone equal n How is it that Asians who have been here for 1 or 2 generations has surpassed whites.  And resent blacks from Africa are about even. It is Democratic policy that hooked intercity blacks on government programs like crack dealers. Then try to blame slavery and racism.,1,83.66,7.3
8152,It's funny that certain races (BLM) think they matter but dont want other races to matter,1,80.62,8.4
8153,This was not the appropriate video to put this in have some respect rest in piece gorge Floyd,1,87.05,7.4
8154,@Panji Rizki What she means is Homophobia links back to the aids epidemic. There is no fear of illness linked back to your religion.,1,84.68,6.0
8155,Racism will never end while there are still ignorant stupid people and to be honest in uk its causing a divide the fact protesters are damaging statues of wartime leaders,1,57.95,15.7
8156,All lives matter is a statement not a movement we're not asking for anything so why is bad,0,78.59,6.7
8157,My gaydar was so strong my head is hurting.,1,96.18,1.4
8158,BLM sounds racist to me it should be human lives matter,0,85.69,3.3
8159,@Be.More. Six How many letter apply to you? Two for me,1,91.27,0.2
8160,@Daniel Whyatt Forth eorlingas!,1,50.5,13.5
8161,And I will trust fox news,1,116.15,-2.8
8162,“They’re whoring for votes” nicely said!,1,99.23,9.0
8163,This video is a shameful piece of anti-men feminist liberal garbage. Unsubscribed.,1,42.38,12.5
8164,Slavery is part of our past and needs to stay there.  It's in history books. Not like it's going to disappear from history as if it never happened. I don't think we need statues of slavers in everyone's face every day.,1,94.86,4.0
8165,Love Larry Elder both with and without his Afro,1,104.64,3.5
8166,@IN33D2St0p¢hangingmyname nah not upset sick of black people and there racism ...black lives matter is racist,1,80.28,10.3
8167,Not only did she have short hair,1,115.13,-0.6
8168,#China #Iran #NorthKorea need their people to rise up. Western countries need their overindulged children to grow up.,1,87.72,9.3
8169,Fox new is racist against black people!!,1,106.67,5.0
8170,Sir put him on his place!,1,116.15,-2.8
8171,This police officer speaks with so much truth... I am honored to get to hear this man speak. I pray GOD blesses American with many more police officers like him.,1,95.17,4.3
8172,calla I know it's just a joke sorry if I offended you,1,93.14,1.1
8173,No Lives Matter,1,93.81,0.5
8174,Black lives matter say their names,1,99.23,4.3
8175,bro I’m tearing up,1,92.8,-1.9
8176,Molly Cone I understand the laws of the Old Testament don’t apply today but it never says in the Bible homosexuality is a sin. Can you please provide me with bible versus? Oh and by studying the Bible I meant I read it and enjoy reading Gods word.,1,80.62,6.2
8177,@Michy Mooshroom then why change everyone else?,1,89.75,9.7
8178,Madonna is often criticized and looked down on because she is such a strong advocate for undeserved and neglected populations. It’s not only due to her provocative nature. I was waiting for Madonna to say that she is sexually fluid and/or bisexual when asked why she is such an advocate for the LGBT community. I’m not sure if she is or not but always thought she was/is.,0,71.34,8.4
8179,I’m not bi and I cuff my jeans,1,114.12,-4.0
8180,I don't think Hillary is stupid. I think she's frighteningly smart. I think she and the Donald are attempting to troll conservatives out of existence.,0,71.51,6.5
8181,Women are not being excluded. They are choosing not to go into STEM. If that is there choice,1,90.77,1.2
8182,@***** you might be right about BLM,1,116.15,4.3
8183,So emotional watching this I'm not black but I felt that!! why should they have to walk past that filth every day and in this day and age when they are still prosecuted every day for just  having a differnt shade of skin colour !! the most beautiful and diverse of all colours it makes me sick to think they suffer systematic racism every day wee are 1 this isnt black against white this is united wee are united it's right against wrong and wee unite together wee see if for what it really is !! Stay safe protesters,0,80.65,11.0
8184,Martin Luther king Jr is rolling in his grave,1,96.18,2.4
8185,Nothing going to matter,1,50.5,4.1
8186,Just make everyone get a tan or a bleach until we're all the same color,1,90.09,4.0
8187,You undervalue poor lives of all American citizens..nI will always say every legal Americans citizens life is important ..nBLM is a terrorists group not for black poor Americans,1,62.04,8.5
8188,Anna it’s a joke tho my dude she can dress however she wants and think what she wants,1,95.51,5.4
8189,This video is not just pointless,1,99.23,2.8
8190,I dont agree with HomosexualitynnGirl look at what ur wearing i mean ur hair ur nails and ur jeans are cuffed i mean- U R THE LITTERAL EMBODIMENT OF A BISEXUAL lmaoo,1,55.92,14.3
8191,+Phil McKracken Time was your ally,1,90.77,4.3
8192,How is it legal to send people to conversion therapy?,1,78.25,4.3
8193,@Mauricio Merida they are just thugs getting a ride with the legitimate and peaceful movement against racism,1,54.22,12.6
8194,And we all know how wack women's emotions are. Further they blame men for all sorts of evils against woman when they themselves are the worst culprits.,1,91.61,7.1
8195,Most of the Republicans are nazis.,1,73.85,4.3
8196,Replace it with a statue of liberation an equality perhaps Paul Stephenson 1963?nOr princess Campbell the first black ward sister in 1974,1,68.77,8.9
8197,@Haz 1he8est because it's racist to suggest my life matters as a white person.,1,74.19,7.4
8198,It's only controversial to those that think it's controversial.,1,53.88,11.8
8199,Keep up the good work Debbie. I always like to work with female engineers,0,89.75,2.3
8200,Tony Gokk our world is over populated by a lot. You can still adopt a child. A poor loving child who needs attention and longs a home. If this is a religious thing,0,96.89,1.4
8201,@Andy N nnWe've learned...fuckbeveryone else and future generations. Let's change history because we don't like that bit.. n #Memememe.,1,65.08,10.7
8202,Joseph stalin shut up,1,92.8,1.8
8203,The most obvious question people should ask about conversion therapy,1,61.33,11.4
8204,she is simply divine,1,92.8,0.6
8205,Show me the verse.,1,118.18,-1.9
8206,Can't stand Bernie or his half added accent!,1,88.74,4.4
8207,Thank you so much sis .. I feel better now,0,109.21,-2.0
8208,Hats off to the Sheriff.   Until the black community start to take a hard honest look at themselves,1,87.72,4.0
8209,When you realize that you cannot speak your mind regarding your opposing view without suffering dire consequences,1,62.68,14.0
8210,Top far they have even started welcome to the future,1,86.71,3.8
8211,ALL LIVES matter. We are all related to some extent. We all bleed red,1,100.54,-0.4
8212,U don’t get it where not saying that we’re the only ones that matter where saying that we matter to that we want to be treated fairly like everyone else here in America,1,71.82,14.5
8213,In the USA more unarmed WHITE MEN are killed by cops than unarmed BLACK MEN.,1,98.55,5.5
8214,I promise you the Christian girl is a lesbian,1,62.34,2.4
8215,I like this interview. Pride looked out for her and she looked out in a big way. Much respect Madge.,1,98.51,1.0
8216,@SH07 it is the default stereotype,1,73.85,4.3
8217,@Theodore Haskins all lives matter,1,100.24,9.3
8218,I just want to say black ppl acvpunt for 13% of america and I see many of them who are celebs and in high places. I see america had a black president. Racism is dying and the democrats know that. Ppl discriminating against white ppl too. And affirmative action is stupid. And saying this,1,87.72,3.5
8219,@Sovereign Butterfly what was she like in the elevator? and what year was it?,1,72.83,3.6
8220,Yeah... I don't agree with straight people who support homosexuality. So is it only o.k.for you to disagree with straight people,1,89.75,6.3
8221,I wouldn't say fighting for civil rights and social justice is pointless,0,84.68,8.5
8222,BLM movement is only foreigners wanting to take over America are USING Blacks,1,66.74,8.6
8223,@gamerxj blm is a commie organization,1,31.55,6.7
8224,Typical misogynist logic. If there's women missing in something it's because we either deserve it or we cannot be good enough,1,69.28,7.4
8225,God gave us a choice,1,117.16,-4.0
8226,In Christ ALL LIVES MATTER ‼  If I’m a RACIST for saying this then I guess GOD is a liar and JESUS sacrifice on the cross means nothing🤔🤔🤔🤔🤔🤔🤔‼‼‼,1,69.45,12.5
8227,Black lives matter so Bernie can get elected. Lol. I guess it didn’t work.,1,98.21,2.6
8228,You missunderstood my comment.,1,33.58,12.4
8229,Do it through election and vote not militia style,1,87.72,4.5
8230,The people who came up with All lives matter were sending the wrong message.  Most of those people are whites who think blacks shouldn't get so much attention.,1,91.11,7.6
8231,Ill say it. Im not scared.  ALL LIVES MATTER.  ALL LIVES MATTER.,0,102.27,0.1
8232,When I told my now ex’s mom I was going for a degree in civil engineering she asked,1,78.59,4.9
8233,Remove the pyramids of Egypt!,1,66.4,4.6
8234,As a Black American DO NOT SUPPORT THE BLM Movement. WHY? It's a trojan horse. So,1,88.74,2.0
8235,Thank you so much for this! I'm a high school student with a few years into college. I couldn't decide between Architecture and Civil Engineering,0,79.97,5.5
8236,Is it just me or does the girl in the red shirt with the pixie cut give off LGBT vibes despite being ‘against’ it,1,89.42,8.2
8237,@Alex Rivas If you Did use Logic Sir ......God Loves ALL.....it's Not a Devisive matter....,1,91.78,5.2
8238,I know I'm years late but I'm here now. Throughout High School,1,107.69,1.6
8239,It is no script,1,118.18,-5.4
8240,Kanna I love how your brain works. You complain all about women then the second a man complains you jump on him and say how your problems matter more. You are sexist and a piece of shit,1,92.83,3.7
8241,I love u Madonna i came out and told that I've always liked Women...  N sumhow i always wanted to be a Man...,0,93.64,1.9
8242,Blue Lives Matter. Black Lives Matter. Hispanic Lives Matter. Asian Lives Matter. White Lives Matter. ETC.....All Lives Matter! Defend the Police. Reduce crime. Stop resisting arrest. Stop talking back. Obey the Law. Respect the Police and anyone in Authority. Simple Rule. Criminals are like Children. You need to punish bad behaviors. Law and Order and Justice=A Civilized Society.,0,67.31,7.1
8243,? What the hell is this video no one says this shit to people,1,109.04,2.4
8244,BLM movement taught me one thing..Hate!!!  I listened to a movie song from years ago...it sickens me but so true in now times.  Repent...Repent...we all need to,1,89.95,5.0
8245,im go to college majoring eguneering,1,48.47,5.9
8246,This is so inspirational to female engineers like myself. Almost cried out of happiness. Thank you for this.,0,65.39,5.4
8247,@Maggie Paul Because it would prove their point. If white,1,95.17,6.2
8248,Do you not think this has gone far enough it was one man tragic yes but come on do we always have to go back to the slavery stuff at the end of the day check your history and see who sold them !!!nIm all for equality but this is ridiculous in the middle of a pandemic mental,1,75.88,10.7
8249,Why doesn't anyone talk about many more WHITE people killed by police than BLACK people!!!,1,90.09,9.9
8250,Conversion therapy disgusts me. It is disgusting knowing people are willing to do that to another.,1,63.36,7.0
8251,@Lucy Atkinson well why not,1,100.24,2.7
8252,@mya kahlo You're right in criticizing the movement and I'm sorry for assuming your appearance.nnAnd yes,1,63.7,12.8
8253,Nancy pelosi can't stand the cops Nancy pelosi hates cops Nancy pelosi despises the cops. Nancy pelosi wants to abolish the cops ..she's going to make a new bill to get rid of the cops. she's sick of them cops doing bad things to everybody every cop is a bad cop.,1,100.78,4.6
8254,Alan Hunt says the guy who can’t spell amazing,1,104.64,2.9
8255,@tadhg scanlon According to the Washington Post last year 1004 people were shot by police 250 of them were black the remaining were white nearly all of them were armed and resisting police. That is fact look it up.,1,77.06,9.6
8256,I hope they all die from covid.,1,106.67,-1.2
8257,Eagle ... good don’t listen to the music ever again or use the slang thanks.,1,99.57,6.4
8258,I’m from the UAE and they respect everyone,0,88.74,3.2
8259,This really inspired me... I am doing my first year in computer systems engineering. Just 4 girls out of 17 boys.. I am never giving up. Its hard but worth it,0,90.56,1.1
8260,Look at all of them lie just to get a vote,1,111.07,-2.3
8261,this made me uncontrollably emotional,1,32.56,12.2
8262,Floyd once held a pregnant woman at gunpoint. Those rioting idiots just ignore the fact that they are defending a criminal. But of course it was a hatecrime. If a police officer,1,80.28,4.0
8263,@Vernice Davis ALM has so many purposes. George Floyd was killed by a white. How about those innocent people (black,1,90.05,4.5
8264,Wait people die there??,1,118.18,4.1
8265,Bond Girl black lives matter is a racist facist movement causing divide. The people will fight back !,1,79.77,6.1
8266,@BBC Censored I believe your explanation lacks a few important details.When ever an agenda is created by the color of my skin it only helps to sow division,1,74.19,7.1
8267,Hypocrisy at the maximum level,1,49.48,5.6
8268,Animations with Aubrey stop judging people based on their looks libtard I thought liberals where anti bullying but ok,1,60.65,12.6
8269,@Platon K Lol,1,93.81,-2.7
8270,Proud of Bristol,1,93.81,2.1
8271,Bob the Buster Not everyone.,1,100.24,3.7
8272,@Dany S every person no matter what*,1,89.75,2.3
8273,The media is propagating a communist revolution in the UK and the West,1,66.74,6.1
8274,@Megan Kipness did roll over CNN..,1,99.23,4.3
8275,Flying Banana nI think you're overestimating the grandeur of the moment.   There is substantial agreement (finally) that racism is an awful thing,1,60.31,10.2
8276,Because she is often vulgar,1,66.4,2.7
8277,@Dangus Yes we want change but this movement BLM is not about racial equality.  Dont be fooled there is a dangerous political movement behind this.,1,75.71,7.8
8278,It's too many how does the police community justify this violent killing of black Americans? While the world watches and deflects against it? Silence is violence and there is only one right way to go #georgefloyd,1,76.22,7.7
8279,I try to be open minded and listen to both the left and right news media but I constantly see just a bunch of so called adults talking over each other and no one listening thus no progress being made. Both sides do this. It's childish a waste of time. All it does is turn the viewer into a sour,1,90.09,4.5
8280,ShadowSupra they donate for Democrats not black lives,1,88.74,9.7
8281,So your choosing the white supremacy side? Someone telling you,1,91.78,6.0
8282,J Randall preach!,1,93.81,3.6
8283,@SamAnimations! a bit too optimistic let's say 1/2,1,46.44,7.9
8284,It's sad to see what this evil thing called religion does to people nThat's why we have socialism,1,87.05,8.5
8285,Don't really understand what that means - it's TAUGHT.,1,88.74,9.7
8286,Her husband wanted to kill a pregnant woman,1,80.28,3.8
8287,Their story always single side.. Nothing wrong indicate his state of denial. What if the kids also have their right to be straight?,1,97.5,4.7
8288,anonymous I believe,1,34.59,6.8
8289,True. Cooped up. I wonder if Edward Colston will get listed as a covid death,1,81.63,5.5
8290,Martin Luther King would be shocked in this generation,1,62.34,7.1
8291,It sounds stuck in her throat and almost falsetto. Maybe that is why her last two tracks are completely drowned in autotune/vocoder.,1,77.23,7.9
8292,Aria Maas white people are not your yardstick,1,105.66,4.9
8293,I wouldn't think a black woman was technical when she has hair like that either. So unprofessional!,1,62.68,10.1
8294,All are a like unto God.nAnd we should be ashamed to thing we are above someone. nJesus Christ said no better love then this but he who lays down his lift for his friends.nAnd that is just what Jesus Christ did for all who ever lived. nTo him each of us matters.nWho are we to say one color is above another.nWhite people died to free slaves. And Black people died to keep our country free. We owe a lot to both!nAll lives matter.,0,96.89,2.5
8295,No one is offended by black lives matter except people who think they don't.,1,82.65,6.8
8296,I remember I used to take apart my barbie dolls to see how they were made. I never had any blocks/legos/building toys and never gravitated towards them as a girl because my peers and I thought it was for boys. My peers at that age also played with barbies and superficial toys,1,79.3,7.6
8297,Homosexualality and stuff,1,9.21,16.2
8298,The one girl who didn't agree with the gays,1,104.64,1.4
8299,I love watching doctor whonLet's be friends,1,81.29,7.0
8300,It frustrates me that the thumb downers don't leave comments on why they don't like. There's gotta be more to these losers.,1,102.61,5.9
8301,you are totally right,1,118.18,1.8
8302,Sunshine littlephilly Your mistake such as,1,73.85,10.6
8303,You know why nobody is saying All Lives  Matter,1,96.18,2.9
8304,The color of are skin does not define are personality or are capability of doing and accomplishing stuff... Its just a color or more specific it's just a genetic,0,56.76,7.4
8305,its like a response to blm,1,99.23,-2.0
8306,Basically white people are oppressed now....what the point in talking about something that happened 200 years ago,1,88.23,9.7
8307,Respect form  Holland Amsterdam 020,1,32.56,9.3
8308,We going to remember George Floyd for ever,1,80.28,3.2
8309,When was this recorded? Some time under Obama!,1,84.34,3.6
